,Distribution,,,,,,,,,,,,,,,,,,,
Données équipements,PEF-ADPe,PEF-ADPf ,PEF-AP,PEF-CTUe ,PEF-CTUh-c ,PEF-CTUh-nc ,PEF-Epf ,PEF-Epm ,PEF-Ept ,PEF-GWP ,PEF-GWPb ,PEF-GWPf ,PEF-GWPlu ,PEF-IR ,PEF-LU ,PEF-ODP ,PEF-PM ,PEF-POCP ,PEF-WU ,MIPS 
Terminaux (personnel),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ordinateur portable,"4,84E-07","1,72E+02","6,25E-02","8,36E+00","1,91E-10","1,09E-08","4,34E-06","2,54E-02","2,78E-01","1,23E+01","0,00E+00","1,23E+01","0,00E+00","3,36E-02","0,00E+00","1,86E-08","3,76E-07","6,86E-02","5,16E-02","5,51E+00"
Tablette,"1,33E-07","4,81E+01","1,84E-02","2,77E+00","5,94E-11","3,43E-09","1,20E-06","7,25E-03","7,93E-02","3,43E+00","0,00E+00","3,43E+00","0,00E+00","2,26E-02","0,00E+00","1,05E-08","1,10E-07","1,96E-02","1,78E-02","1,58E+00"
Smartphone,"8,80E-08","3,18E+01","1,22E-02","1,83E+00","3,93E-11","2,27E-09","7,91E-07","4,79E-03","5,24E-02","2,27E+00","0,00E+00","2,27E+00","0,00E+00","1,49E-02","0,00E+00","6,92E-09","7,25E-08","1,30E-02","1,18E-02","1,05E+00"
Ordinateur fixe (sans écran) personnel,"1,04E-07","3,68E+01","1,02E-01","1,79E+00","4,33E-11","8,84E-09","1,00E-06","2,41E-02","2,64E-01","2,94E+00","0,00E+00","2,94E+00","0,00E+00","6,02E-03","0,00E+00","3,78E-09","5,37E-07","6,80E-02","9,57E-03","1,19E+00"
Ordinateur fixe (sans écran) professionnel,"6,55E-08","2,31E+01","6,43E-02","1,12E+00","2,72E-11","5,56E-09","6,31E-07","1,51E-02","1,66E-01","1,85E+00","0,00E+00","1,85E+00","0,00E+00","3,79E-03","0,00E+00","2,38E-09","3,38E-07","4,28E-02","6,02E-03","7,46E-01"
Ecran d'ordinateur,"4,57E-08","1,61E+01","4,49E-02","7,83E-01","1,90E-11","3,88E-09","4,40E-07","1,06E-02","1,16E-01","1,29E+00","0,00E+00","1,29E+00","0,00E+00","2,64E-03","0,00E+00","1,66E-09","2,36E-07","2,98E-02","4,20E-03","5,20E-01"
Téléviseur personnel,"1,16E-07","4,09E+01","1,14E-01","1,98E+00","4,81E-11","9,83E-09","1,12E-06","2,68E-02","2,94E-01","3,26E+00","0,00E+00","3,26E+00","0,00E+00","6,69E-03","0,00E+00","4,20E-09","5,97E-07","7,55E-02","1,06E-02","1,32E+00"
Téléviseur professionnel,"8,81E-08","3,11E+01","8,65E-02","1,51E+00","3,66E-11","7,48E-09","8,49E-07","2,04E-02","2,24E-01","2,48E+00","0,00E+00","2,48E+00","0,00E+00","5,09E-03","0,00E+00","3,20E-09","4,54E-07","5,75E-02","8,09E-03","1,00E+00"
Alimentation - Externe ordinateur portable,"4,96E-09","1,75E+00","4,87E-03","8,49E-02","2,06E-12","4,21E-10","4,77E-08","1,15E-03","1,26E-02","1,40E-01","0,00E+00","1,40E-01","0,00E+00","2,87E-04","0,00E+00","1,80E-10","2,56E-08","3,23E-03","4,55E-04","5,64E-02"
Alimentation - Externe smartphone et tablette,"4,83E-10","1,71E-01","4,74E-04","8,28E-03","2,01E-13","4,10E-11","4,65E-09","1,12E-04","1,23E-03","1,36E-02","0,00E+00","1,36E-02","0,00E+00","2,79E-05","0,00E+00","1,75E-11","2,49E-09","3,15E-04","4,44E-05","5,50E-03"
Disque dur externe,"4,01E-09","1,41E+00","3,93E-03","6,86E-02","1,67E-12","3,40E-10","3,86E-08","9,26E-04","1,02E-02","1,13E-01","0,00E+00","1,13E-01","0,00E+00","2,32E-04","0,00E+00","1,45E-10","2,07E-08","2,61E-03","3,68E-04","4,56E-02"
SSD externe,"5,69E-10","2,01E-01","5,59E-04","9,75E-03","2,37E-13","4,83E-11","5,48E-09","1,32E-04","1,44E-03","1,61E-02","0,00E+00","1,61E-02","0,00E+00","3,29E-05","0,00E+00","2,07E-11","2,94E-09","3,71E-04","5,23E-05","6,48E-03"
Clef USB,"1,50E-10","5,32E-02","1,48E-04","2,58E-03","6,26E-14","1,28E-11","1,45E-09","3,48E-05","3,82E-04","4,24E-03","0,00E+00","4,24E-03","0,00E+00","8,70E-06","0,00E+00","5,46E-12","7,76E-10","9,82E-05","1,38E-05","1,71E-03"
Box,"2,16E-08","7,63E+00","2,12E-02","3,70E-01","8,98E-12","1,83E-09","2,08E-07","4,99E-03","5,48E-02","6,10E-01","0,00E+00","6,10E-01","0,00E+00","1,25E-03","0,00E+00","7,84E-10","1,11E-07","1,41E-02","1,99E-03","2,46E-01"
IoT - Thermostat connecté,"1,55E-09","5,47E-01","1,52E-03","2,66E-02","6,44E-13","1,32E-10","1,49E-08","3,58E-04","3,93E-03","4,37E-02","0,00E+00","4,37E-02","0,00E+00","8,96E-05","0,00E+00","5,62E-11","7,99E-09","1,01E-03","1,42E-04","1,76E-02"
IoT - Capteur d'industrie,"9,33E-10","3,30E-01","9,16E-04","1,60E-02","3,88E-13","7,92E-11","8,99E-09","2,16E-04","2,37E-03","2,63E-02","0,00E+00","2,63E-02","0,00E+00","5,40E-05","0,00E+00","3,39E-11","4,81E-09","6,09E-04","8,58E-05","1,06E-02"
Casque de réalité virtuelle - Technologie de dalle LCD,"1,24E-08","4,41E+00","8,60E-03","2,13E-01","5,36E-12","9,35E-10","1,20E-07","2,21E-03","2,42E-02","3,38E-01","0,00E+00","3,38E-01","0,00E+00","7,38E-04","0,00E+00","4,64E-10","4,79E-08","6,20E-03","1,17E-03","1,42E-01"
Casque de réalité virtuelle - Technologie de dalle OLED,"1,55E-08","5,50E+00","1,07E-02","2,66E-01","6,68E-12","1,17E-09","1,49E-07","2,75E-03","3,01E-02","4,22E-01","0,00E+00","4,22E-01","0,00E+00","9,20E-04","0,00E+00","5,78E-10","5,97E-08","7,73E-03","1,46E-03","1,77E-01"
Manette pour casque de réalité virtuelle ,"2,27E-09","8,07E-01","1,58E-03","3,90E-02","9,81E-13","1,71E-10","2,19E-08","4,04E-04","4,43E-03","6,19E-02","0,00E+00","6,19E-02","0,00E+00","1,35E-04","0,00E+00","8,49E-11","8,77E-09","1,14E-03","2,14E-04","2,60E-02"
Réseaux FAI,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Accès,,,,,,,,,,,,,,,,,,,,
Antenne passive multibandes (1.4m à 2.7m),"5,82E-07","2,05E+02","5,71E-01","9,97E+00","2,42E-10","4,94E-08","5,60E-06","1,34E-01","1,48E+00","1,64E+01","0,00E+00","1,64E+01","0,00E+00","3,36E-02","0,00E+00","2,11E-08","3,00E-06","3,80E-01","5,34E-02","6,62E+00"
"BBU (2G, 3G, 4G, 5G)","2,65E-07","9,35E+01","2,60E-01","4,54E+00","1,10E-10","2,25E-08","2,55E-06","6,12E-02","6,72E-01","7,47E+00","0,00E+00","7,47E+00","0,00E+00","1,53E-02","0,00E+00","9,61E-09","1,37E-06","1,73E-01","2,43E-02","3,01E+00"
Routeur de collecte sur site radio,"2,23E-07","7,87E+01","2,19E-01","3,82E+00","9,27E-11","1,89E-08","2,15E-06","5,15E-02","5,66E-01","6,29E+00","0,00E+00","6,29E+00","0,00E+00","1,29E-02","0,00E+00","8,09E-09","1,15E-06","1,45E-01","2,05E-02","2,54E+00"
Agregation ,,,,,,,,,,,,,,,,,,,,
Routeur d'agrégation,"2,09E-06","7,39E+02","2,06E+00","3,59E+01","8,70E-10","1,78E-07","2,02E-05","4,84E-01","5,31E+00","5,90E+01","0,00E+00","5,90E+01","0,00E+00","1,21E-01","0,00E+00","7,60E-08","1,08E-05","1,37E+00","1,92E-01","2,38E+01"
Équipement WDM de boucle d'agrégation,"1,73E-06","6,11E+02","1,70E+00","2,97E+01","7,20E-10","1,47E-07","1,67E-05","4,00E-01","4,39E+00","4,88E+01","0,00E+00","4,88E+01","0,00E+00","1,00E-01","0,00E+00","6,28E-08","8,93E-06","1,13E+00","1,59E-01","1,97E+01"
Security Gateway 4G/5G,"2,39E-07","8,43E+01","2,34E-01","4,09E+00","9,92E-11","2,03E-08","2,30E-06","5,52E-02","6,06E-01","6,73E+00","0,00E+00","6,73E+00","0,00E+00","1,38E-02","0,00E+00","8,66E-09","1,23E-06","1,56E-01","2,19E-02","2,72E+00"
Backbone,,,,,,,,,,,,,,,,,,,,
Equipement WDM backbone,"1,73E-06","6,11E+02","1,70E+00","2,97E+01","7,20E-10","1,47E-07","1,67E-05","4,00E-01","4,39E+00","4,88E+01","0,00E+00","4,88E+01","0,00E+00","1,00E-01","0,00E+00","6,28E-08","8,93E-06","1,13E+00","1,59E-01","1,97E+01"
Routeur P-PE-Peering,"9,02E-06","3,19E+03","8,85E+00","1,55E+02","3,75E-09","7,66E-07","8,69E-05","2,08E+00","2,29E+01","2,54E+02","0,00E+00","2,54E+02","0,00E+00","5,22E-01","0,00E+00","3,27E-07","4,65E-05","5,89E+00","8,29E-01","1,03E+02"
MME /SGSN ,"2,38E-06","8,39E+02","2,33E+00","4,07E+01","9,88E-10","2,02E-07","2,29E-05","5,49E-01","6,03E+00","6,70E+01","0,00E+00","6,70E+01","0,00E+00","1,37E-01","0,00E+00","8,62E-08","1,23E-05","1,55E+00","2,18E-01","2,70E+01"
SP-GW /GGSN ,"7,37E-07","2,60E+02","7,23E-01","1,26E+01","3,06E-10","6,25E-08","7,10E-06","1,70E-01","1,87E+00","2,08E+01","0,00E+00","2,08E+01","0,00E+00","4,26E-02","0,00E+00","2,67E-08","3,80E-06","4,81E-01","6,77E-02","8,38E+00"
Agregation& Backbone,,,,,,,,,,,,,,,,,,,,
Fibre optique 2 brins,"1,89E-10","6,69E-02","1,75E-04","3,24E-03","7,89E-14","1,56E-11","1,82E-09","4,16E-05","4,56E-04","5,28E-03","0,00E+00","5,28E-03","0,00E+00","1,10E-05","0,00E+00","6,90E-12","9,26E-10","1,17E-04","1,74E-05","2,15E-03"
Fibre optique 12 brins,"9,45E-10","3,34E-01","9,28E-04","1,62E-02","3,93E-13","8,02E-11","9,10E-09","2,18E-04","2,40E-03","2,66E-02","0,00E+00","2,66E-02","0,00E+00","5,46E-05","0,00E+00","3,43E-11","4,87E-09","6,17E-04","8,68E-05","1,08E-02"
Fibre optique 24 brins,"9,55E-10","3,37E-01","9,38E-04","1,64E-02","3,97E-13","8,11E-11","9,20E-09","2,21E-04","2,42E-03","2,69E-02","0,00E+00","2,69E-02","0,00E+00","5,52E-05","0,00E+00","3,47E-11","4,93E-09","6,23E-04","8,77E-05","1,09E-02"
Fibre optique 48 brins,"9,75E-10","3,44E-01","9,58E-04","1,67E-02","4,05E-13","8,28E-11","9,40E-09","2,25E-04","2,48E-03","2,75E-02","0,00E+00","2,75E-02","0,00E+00","5,64E-05","0,00E+00","3,54E-11","5,03E-09","6,37E-04","8,96E-05","1,11E-02"
Fibre optique 72 brins,"9,96E-10","3,52E-01","9,78E-04","1,71E-02","4,14E-13","8,45E-11","9,59E-09","2,30E-04","2,53E-03","2,81E-02","0,00E+00","2,81E-02","0,00E+00","5,76E-05","0,00E+00","3,61E-11","5,14E-09","6,50E-04","9,15E-05","1,13E-02"
Fibre optique 96 brins,"1,02E-09","3,59E-01","9,98E-04","1,74E-02","4,22E-13","8,63E-11","9,79E-09","2,35E-04","2,58E-03","2,87E-02","0,00E+00","2,87E-02","0,00E+00","5,88E-05","0,00E+00","3,69E-11","5,24E-09","6,63E-04","9,34E-05","1,16E-02"
Fibre optique 144 brins,"1,06E-09","3,73E-01","1,04E-03","1,81E-02","4,39E-13","8,97E-11","1,02E-08","2,44E-04","2,68E-03","2,98E-02","0,00E+00","2,98E-02","0,00E+00","6,11E-05","0,00E+00","3,83E-11","5,45E-09","6,90E-04","9,71E-05","1,20E-02"
Fibre optique 288 brins,"1,18E-09","4,16E-01","1,16E-03","2,02E-02","4,89E-13","9,99E-11","1,13E-08","2,72E-04","2,99E-03","3,32E-02","0,00E+00","3,32E-02","0,00E+00","6,81E-05","0,00E+00","4,27E-11","6,07E-09","7,68E-04","1,08E-04","1,34E-02"
Fibre optique 576 brins,"1,43E-09","5,04E-01","1,40E-03","2,44E-02","5,93E-13","1,21E-10","1,37E-08","3,29E-04","3,62E-03","4,02E-02","0,00E+00","4,02E-02","0,00E+00","8,25E-05","0,00E+00","5,17E-11","7,35E-09","9,30E-04","1,31E-04","1,62E-02"
Fibre optique 720 brins,"1,55E-09","5,47E-01","1,52E-03","2,66E-02","6,44E-13","1,32E-10","1,49E-08","3,58E-04","3,93E-03","4,37E-02","0,00E+00","4,37E-02","0,00E+00","8,96E-05","0,00E+00","5,62E-11","7,99E-09","1,01E-03","1,42E-04","1,76E-02"
Serveur DC/Cloud (PAS DE REVUE CRITIQUE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serveur rack - petit,"1,64E-06","6,13E+02","1,90E-01","5,10E+01","9,71E-10","5,20E-08","1,47E-05","8,11E-02","8,86E-01","4,31E+01","0,00E+00","4,31E+01","0,00E+00","7,67E-01","0,00E+00","3,24E-07","1,16E-06","2,20E-01","3,53E-01","2,18E+01"
Serveur rack - moyen,"2,24E-06","8,41E+02","2,60E-01","7,00E+01","1,33E-09","7,13E-08","2,01E-05","1,11E-01","1,22E+00","5,91E+01","0,00E+00","5,91E+01","0,00E+00","1,05E+00","0,00E+00","4,45E-07","1,59E-06","3,01E-01","4,84E-01","2,99E+01"
Serveur rack - grand,"6,08E-06","2,28E+03","7,04E-01","1,90E+02","3,61E-09","1,93E-07","5,46E-05","3,01E-01","3,29E+00","1,60E+02","0,00E+00","1,60E+02","0,00E+00","2,85E+00","0,00E+00","1,21E-06","4,31E-06","8,17E-01","1,31E+00","8,09E+01"
Serveur blade,"8,67E-07","3,25E+02","1,01E-01","2,71E+01","5,15E-10","2,76E-08","7,79E-06","4,30E-02","4,70E-01","2,29E+01","0,00E+00","2,29E+01","0,00E+00","4,07E-01","0,00E+00","1,72E-07","6,15E-07","1,17E-01","1,87E-01","1,15E+01"
Switch,"1,88E-06","7,07E+02","2,18E-01","5,88E+01","1,12E-09","5,99E-08","1,69E-05","9,34E-02","1,02E+00","4,96E+01","0,00E+00","4,96E+01","0,00E+00","8,84E-01","0,00E+00","3,74E-07","1,34E-06","2,53E-01","4,07E-01","2,51E+01"
Salle technique de centre de données,"1,87E-06","6,64E+02","3,01E-01","3,20E+01","8,36E-10","9,05E-08","1,79E-05","1,42E-01","1,55E+00","4,76E+01","0,00E+00","4,76E+01","0,00E+00","1,16E-01","0,00E+00","7,29E-08","2,45E-06","3,91E-01","1,80E-01","2,14E+01"
Bâtiments et environnement technique de centre de données,"6,30E-08","2,24E+01","1,01E-02","1,08E+00","2,81E-11","3,05E-09","6,01E-07","4,77E-03","5,21E-02","1,60E+00","0,00E+00","1,60E+00","0,00E+00","3,91E-03","0,00E+00","2,45E-09","8,23E-08","1,32E-02","6,07E-03","7,22E-01"
Baie de stockage,"8,01E-06","3,00E+03","9,28E-01","2,50E+02","4,75E-09","2,54E-07","7,19E-05","3,97E-01","4,34E+00","2,11E+02","0,00E+00","2,11E+02","0,00E+00","3,76E+00","0,00E+00","1,59E-06","5,68E-06","1,08E+00","1,73E+00","1,07E+02"