,Fabrication,,,,,,,,,,,,,,,,,,,
Données équipements,PEF-ADPe,PEF-ADPf ,PEF-AP,PEF-CTUe ,PEF-CTUh-c ,PEF-CTUh-nc ,PEF-Epf ,PEF-Epm ,PEF-Ept ,PEF-GWP ,PEF-GWPb ,PEF-GWPf ,PEF-GWPlu ,PEF-IR ,PEF-LU ,PEF-ODP ,PEF-PM ,PEF-POCP ,PEF-WU ,MIPS 
Terminaux (personnel),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ordinateur portable,"9,50E-03","2,28E+03","1,04E+00","2,58E+03","4,28E-08","1,88E-06","8,01E-04","1,67E-01","1,25E+00","1,70E+02","3,72E-01","1,70E+02","3,78E-06","7,47E+01","2,62E+00","5,29E-05","5,91E-06","4,15E-01","1,94E+02","7,34E+02"
Tablette,"4,45E-03","1,06E+03","5,02E-01","1,10E+03","9,14E-06","8,50E-07","4,65E-04","5,88E-02","5,98E-01","8,05E+01","1,52E-01","8,04E+01","3,03E-06","3,21E+01","1,64E+00","2,73E-05","2,80E-06","1,97E-01","1,10E+02","3,08E+02"
Smartphone,"2,83E-03","7,77E+02","3,54E-01","8,28E+02","1,57E-08","5,57E-07","2,33E-04","7,79E-02","4,23E-01","7,70E+01","9,76E-02","5,88E+01","1,08E-06","1,41E+01","6,74E-01","1,68E-05","1,98E-06","1,40E-01","7,51E+01","2,15E+02"
Ordinateur fixe (sans écran) personnel,"2,20E-02","4,66E+03","1,63E+00","4,65E+03","9,11E-08","4,08E-06","5,87E-04","1,98E-01","2,10E+00","2,59E+02","4,99E-01","2,58E+02","1,79E-07","1,05E+03","4,13E-01","5,88E-05","9,50E-06","6,84E-01","8,19E+01","1,68E+03"
Ordinateur fixe (sans écran) professionnel,"1,97E-02","3,32E+03","1,29E+00","3,75E+03","7,15E-08","3,47E-06","4,98E-04","1,52E-01","1,61E+00","2,03E+02","5,22E-01","2,02E+02","1,48E-07","5,51E+02","3,51E-01","4,94E-05","7,76E-06","5,26E-01","6,62E+01","1,34E+03"
Ecran d'ordinateur,"1,17E-02","1,29E+03","4,18E-01","9,85E+02","3,08E-08","1,56E-06","2,34E-04","9,41E-02","5,69E-01","6,46E+01","3,07E-01","6,43E+01","2,83E-06","1,44E+02","9,99E-01","4,85E-06","2,59E-06","1,86E-01","5,83E+01","5,14E+02"
Téléviseur personnel,"3,97E-02","5,64E+03","1,78E+00","5,86E+03","1,89E-07","5,67E-06","7,90E-04","1,38E+00","2,56E+00","3,25E+02","1,55E+00","3,23E+02","8,80E-06","9,88E+02","3,16E+00","1,72E-05","1,01E-05","8,59E-01","8,69E+02","1,75E+03"
Téléviseur professionnel,"1,94E-02","4,37E+03","1,31E+00","4,56E+03","1,29E-07","3,20E-06","2,77E-04","1,31E+00","1,92E+00","2,55E+02","8,41E+01","1,70E+02","3,63E-07","7,98E+02","3,45E-01","1,48E-05","7,49E-06","6,55E-01","7,99E+02","1,16E+03"
Alimentation - Externe ordinateur portable,"6,50E-04","6,60E+01","2,64E-02","8,62E+01","1,41E-08","6,79E-08","3,11E-05","2,84E-03","3,05E-02","3,51E+00","7,79E-03","3,50E+00","2,11E-08","5,16E+00","2,59E-02","2,41E-07","1,37E-07","1,09E-02","1,85E+00","8,50E+01"
Alimentation - Externe smartphone et tablette,"6,16E-05","7,21E+00","3,07E-03","8,73E+00","1,20E-09","6,67E-09","1,42E-06","3,26E-04","3,37E-03","3,49E-01","7,80E-04","3,48E-01","1,73E-09","1,29E+00","2,14E-03","3,55E-08","1,63E-08","1,25E-03","1,46E-01","9,65E+00"
Disque dur externe,"2,69E-03","1,61E+02","7,52E-02","3,40E+02","6,11E-09","3,26E-07","3,11E-05","8,05E-03","8,58E-02","1,15E+01","7,20E-02","1,15E+01","6,90E-09","2,03E+01","1,24E-02","1,64E-06","6,02E-07","2,88E-02","3,06E+00","1,09E+02"
SSD externe,"8,83E-04","1,76E+03","7,50E-01","1,73E+03","1,47E-08","8,09E-07","4,11E-04","8,97E-02","9,36E-01","1,35E+02","8,97E-02","1,35E+02","3,89E-09","7,13E+00","5,18E-01","5,70E-05","4,14E-06","2,95E-01","6,02E+01","3,27E+02"
Clef USB,"1,49E-04","7,61E+01","2,80E-02","6,34E+01","8,14E-10","4,01E-08","2,02E-05","3,40E-03","3,54E-02","5,16E+00","4,27E-03","5,16E+00","6,56E-10","2,62E+00","2,37E-02","2,30E-06","1,67E-07","1,11E-02","2,48E+00","1,69E+01"
Box,"1,01E-02","8,61E+02","4,10E-01","8,97E+02","1,82E-07","1,35E-06","1,36E-04","5,20E-02","4,82E-01","6,08E+01","1,17E-01","6,07E+01","9,48E-08","3,57E+02","1,52E-01","7,20E-06","2,32E-06","1,62E-01","2,16E+01","5,71E+02"
IoT - Thermostat connecté,"3,91E-04","9,72E+01","4,76E-02","1,13E+02","1,23E-09","8,48E-08","9,72E-06","5,20E-03","5,50E-02","6,92E+00","1,06E-02","6,91E+00","1,28E-08","1,85E+01","3,82E-03","1,06E-06","2,67E-07","1,82E-02","1,56E+00","5,24E+01"
IoT - Capteur d'industrie,"2,06E-04","7,49E+01","3,77E-02","1,30E+02","1,38E-09","2,09E-07","9,10E-04","5,90E-03","4,86E-02","6,11E+00","8,54E-03","6,11E+00","1,04E-06","1,25E+01","6,79E-01","2,31E-06","2,18E-07","1,65E-02","2,65E+01","4,01E+01"
Casque de réalité virtuelle - Technologie de dalle LCD,"5,47E-03","6,58E+02","3,23E-01","7,01E+02","1,43E-06","1,00E-06","8,90E-04","3,53E-02","3,63E-01","4,93E+01","1,17E-01","4,92E+01","1,04E-04","2,04E+01","2,14E+00","1,67E-05","1,79E-06","1,20E-01","9,34E+01","2,07E+02"
Casque de réalité virtuelle - Technologie de dalle OLED,"6,68E-03","1,39E+03","6,48E-01","1,69E+03","5,12E-06","1,34E-06","3,00E-04","1,17E-01","7,39E-01","9,14E+01","4,60E-01","9,09E+01","8,33E-06","2,17E+02","1,55E+00","9,80E-06","3,55E-06","2,40E-01","1,07E+02","3,54E+02"
Manette pour casque de réalité virtuelle ,"1,07E-03","4,31E+01","3,81E-02","4,32E+01","5,93E-08","1,77E-07","9,80E-05","2,48E-03","2,71E-02","3,26E+00","1,88E-02","3,24E+00","4,14E-06","2,49E+00","5,17E-01","7,47E-07","1,95E-07","1,01E-02","2,96E+01","2,80E+01"
Réseaux FAI,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Accès,,,,,,,,,,,,,,,,,,,,
Antenne passive multibandes (1.4m à 2.7m),"3,21E-02","1,33E+04","5,49E+00","9,08E+03","1,08E-07","7,04E-06","8,09E-04","4,87E-01","5,22E+00","6,36E+02","1,68E-01","6,36E+02","7,17E-07","1,36E+03","5,49E-02","9,91E-05","3,04E-05","1,91E+00","1,77E+02","5,66E+03"
"BBU (2G, 3G, 4G, 5G)","3,87E-02","5,64E+03","1,78E+00","4,89E+03","9,21E-08","5,62E-06","4,62E-04","2,42E-01","2,59E+00","2,44E+02","1,06E+00","2,43E+02","1,13E-07","1,16E+03","6,26E-01","2,93E-05","1,09E-05","8,21E-01","6,83E+01","2,27E+03"
Routeur de collecte sur site radio,"5,19E-01","1,82E+04","8,79E+00","1,90E+04","7,07E-07","5,92E-05","3,76E-03","9,74E-01","1,04E+01","1,34E+03","8,60E-01","1,34E+03","8,71E-06","8,66E+03","4,30E+00","1,80E-04","4,75E-05","3,47E+00","7,36E+02","1,24E+04"
Agregation ,,,,,,,,,,,,,,,,,,,,
Routeur d'agrégation,"1,41E+00","7,01E+04","1,97E+01","4,99E+04","2,83E-06","1,65E-04","8,30E-03","2,05E+00","2,17E+01","2,83E+03","4,43E+00","2,82E+03","1,62E-05","2,03E+04","7,52E+00","3,70E-04","1,08E-04","7,59E+00","1,57E+03","6,33E+04"
Équipement WDM de boucle d'agrégation,"1,81E+00","1,75E+05","8,67E+01","1,66E+05","3,68E-06","2,65E-04","2,17E-02","9,43E+00","1,00E+02","1,33E+04","5,25E+00","1,33E+04","4,59E-05","2,67E+04","1,34E+01","1,63E-03","4,75E-04","3,31E+01","4,16E+03","7,23E+04"
Security Gateway 4G/5G,"7,88E-01","1,08E+04","3,99E+00","8,09E+03","1,04E-06","7,98E-05","5,72E-03","4,82E-01","5,05E+00","5,68E+02","8,07E-01","5,67E+02","2,38E-05","1,43E+03","1,08E+01","6,76E-05","2,04E-05","1,67E+00","1,38E+03","1,41E+04"
Backbone,,,,,,,,,,,,,,,,,,,,
Equipement WDM backbone,"1,47E-02","1,98E+04","8,35E+00","1,95E+04","1,55E-07","9,42E-06","4,59E-03","9,98E-01","1,04E+01","1,49E+03","1,03E+00","1,49E+03","3,21E-07","2,56E+01","5,87E+00","6,33E-04","4,61E-05","3,29E+00","6,51E+02","4,37E+03"
Routeur P-PE-Peering,"3,09E+00","2,67E+05","6,55E+01","2,26E+05","7,62E-06","3,72E-04","2,32E-02","8,70E+00","9,41E+01","9,76E+03","4,54E+01","9,71E+03","3,21E-05","4,87E+04","1,48E+01","1,05E-03","3,88E-04","2,98E+01","3,59E+03","2,19E+05"
MME /SGSN ,"2,98E+00","1,27E+05","4,71E+01","1,27E+05","4,43E-06","3,23E-04","2,30E-02","5,74E+00","6,04E+01","7,54E+03","1,24E+01","7,53E+03","2,76E-05","1,05E+04","1,39E+01","1,05E-03","2,65E-04","1,96E+01","3,27E+03","9,53E+04"
SP-GW /GGSN ,"3,36E-01","3,37E+04","1,43E+01","3,17E+04","1,02E-06","1,19E-04","3,53E-03","1,65E+00","1,75E+01","1,95E+03","1,08E+00","1,95E+03","4,02E-07","3,06E+04","3,76E-01","2,69E-04","7,80E-05","6,07E+00","4,16E+02","4,03E+04"
Agregation& Backbone,,,,,,,,,,,,,,,,,,,,
Fibre optique 2 brins,"7,80E-09","9,56E+00","1,37E-03","2,42E+00","3,91E-10","2,91E-09","7,31E-07","2,13E-04","2,35E-03","2,67E-01","1,50E-04","2,67E-01","0,00E+00","1,92E-01","3,46E-03","3,91E-08","8,50E-09","9,49E-04","1,84E-01","7,32E-01"
Fibre optique 12 brins,"2,47E-08","1,59E+01","1,62E-03","2,88E+00","3,99E-10","3,26E-09","2,37E-06","2,49E-04","2,86E-03","3,21E-01","8,27E-04","3,21E-01","0,00E+00","9,91E-01","7,21E-03","4,09E-08","1,58E-08","1,07E-03","1,99E-01","8,41E-01"
Fibre optique 24 brins,"4,50E-08","2,34E+01","1,93E-03","3,44E+00","4,09E-10","3,69E-09","4,33E-06","2,92E-04","3,46E-03","3,87E-01","1,64E-03","3,85E-01","0,00E+00","1,95E+00","1,17E-02","4,32E-08","2,46E-08","1,21E-03","2,17E-01","9,72E-01"
Fibre optique 48 brins,"8,56E-08","3,85E+01","2,54E-03","4,54E+00","4,29E-10","4,53E-09","8,26E-06","3,79E-04","4,68E-03","5,17E-01","3,26E-03","5,14E-01","0,00E+00","3,87E+00","2,07E-02","4,77E-08","4,21E-08","1,49E-03","2,52E-01","1,23E+00"
Fibre optique 72 brins,"1,26E-07","5,36E+01","3,16E-03","5,65E+00","4,49E-10","5,38E-09","1,22E-05","4,65E-04","5,90E-03","6,48E-01","4,89E-03","6,43E-01","0,00E+00","5,79E+00","2,97E-02","5,22E-08","5,96E-08","1,77E-03","2,88E-01","1,49E+00"
Fibre optique 96 brins,"1,67E-07","6,87E+01","3,77E-03","6,75E+00","4,69E-10","6,23E-09","1,61E-05","5,52E-04","7,12E-03","7,79E-01","6,51E-03","7,72E-01","0,00E+00","7,70E+00","3,87E-02","5,67E-08","7,71E-08","2,06E-03","3,23E-01","1,76E+00"
Fibre optique 144 brins,"2,48E-07","9,90E+01","5,00E-03","8,96E+00","5,09E-10","7,92E-09","2,40E-05","7,24E-04","9,55E-03","1,04E+00","9,76E-03","1,03E+00","0,00E+00","1,15E+01","5,66E-02","6,57E-08","1,12E-07","2,62E-03","3,94E-01","2,28E+00"
Fibre optique 288 brins,"4,92E-07","1,90E+02","8,67E-03","1,56E+01","6,30E-10","1,30E-08","4,75E-05","1,24E-03","1,69E-02","1,82E+00","1,95E-02","1,80E+00","0,00E+00","2,30E+01","1,11E-01","9,26E-08","2,17E-07","4,32E-03","6,07E-01","3,85E+00"
Fibre optique 576 brins,"9,79E-07","3,71E+02","1,60E-02","2,88E+01","8,71E-10","2,31E-08","9,46E-05","2,28E-03","3,15E-02","3,39E+00","3,90E-02","3,35E+00","0,00E+00","4,61E+01","2,18E-01","1,47E-07","4,28E-07","7,72E-03","1,03E+00","6,98E+00"
Fibre optique 720 brins,"1,22E-06","4,62E+02","1,97E-02","3,55E+01","9,92E-10","2,82E-08","1,18E-04","2,80E-03","3,88E-02","4,18E+00","4,88E-02","4,13E+00","0,00E+00","5,76E+01","2,72E-01","1,74E-07","5,33E-07","9,42E-03","1,25E+00","8,55E+00"
Serveur DC/Cloud (PAS DE REVUE CRITIQUE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serveur rack - petit,"1,65E-02","4,29E+03","1,45E+00","3,71E+03","7,63E-08","3,42E-06","1,09E-03","1,66E-01","1,76E+00","2,37E+02","2,11E-01","2,37E+02","3,07E-05","5,72E+02","1,39E+00","6,10E-05","8,09E-06","5,82E-01","8,05E+01","1,35E+03"
Serveur rack - moyen,"1,86E-02","1,08E+04","4,00E+00","9,80E+03","1,29E-07","6,31E-06","2,47E-03","4,76E-01","4,99E+00","6,98E+02","5,17E-01","6,96E+02","3,07E-05","6,78E+02","3,09E+00","2,51E-04","2,22E-05","1,60E+00","2,83E+02","2,48E+03"
Serveur rack - grand,"5,05E-02","7,38E+04","2,98E+01","7,03E+04","6,90E-07","3,59E-05","1,63E-02","3,58E+00","3,73E+01","5,32E+03","3,77E+00","5,30E+03","3,12E-05","3,43E+03","2,03E+01","2,16E-03","1,65E-04","1,18E+01","2,29E+03","1,44E+04"
Serveur blade,"1,13E-02","4,67E+03","1,79E+00","4,44E+03","6,05E-08","2,93E-06","1,89E-03","2,11E-01","2,22E+00","3,05E+02","1,96E-01","3,04E+02","6,12E-05","7,87E+01","2,92E+00","1,02E-04","9,82E-06","7,05E-01","1,13E+02","1,16E+03"
Switch,"3,19E-02","5,58E+03","2,10E+00","5,12E+03","1,39E-07","5,37E-06","3,86E-03","2,34E-01","2,47E+00","3,33E+02","3,16E-01","3,32E+02","6,46E-02","8,18E+02","6,43E+00","7,55E-05","1,18E-05","8,28E-01","1,11E+02","2,19E+03"
Salle technique de centre de données,"2,20E-02","1,30E+05","1,09E+01","7,82E+03","1,82E-07","3,83E-05","6,17E-04","2,10E+00","2,29E+01","2,99E+03","1,15E+00","2,99E+03","0,00E+00","7,91E+02","0,00E+00","9,91E-05","5,27E-05","7,39E+00","4,65E+02","1,48E+04"
Bâtiments et environnement technique de centre de données,"5,68E-03","9,08E+02","7,77E-01","1,78E+03","3,79E-07","3,96E-06","2,60E-02","9,76E-02","1,06E+00","8,51E+01","2,58E-01","8,48E+01","7,75E-02","1,51E+02","2,06E+02","4,75E-06","5,00E-06","3,26E-01","7,74E+01","3,12E+02"
Baie de stockage,"2,12E-02","4,01E+04","1,46E+01","3,89E+04","3,48E-07","1,90E-05","7,71E-03","1,86E+00","1,85E+01","2,61E+03","1,96E+00","2,61E+03","9,33E-08","1,67E+02","3,26E+01","1,03E-03","7,98E-05","5,85E+00","1,10E+03","6,87E+03"