,Fin de vie,,,,,,,,,,,,,,,,,,,
Données équipements,PEF-ADPe,PEF-ADPf ,PEF-AP,PEF-CTUe ,PEF-CTUh-c ,PEF-CTUh-nc ,PEF-Epf ,PEF-Epm ,PEF-Ept ,PEF-GWP ,PEF-GWPb ,PEF-GWPf ,PEF-GWPlu ,PEF-IR ,PEF-LU ,PEF-ODP ,PEF-PM ,PEF-POCP ,PEF-WU ,MIPS 
Terminaux (personnel),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ordinateur portable,"8,28E-06","3,72E+01","3,62E-02","1,44E+03","3,28E-09","2,37E-07","4,01E-05","2,17E-02","2,70E-02","2,79E+00","9,11E-02","2,70E+00","0,00E+00","2,50E-01","7,35E+00","2,75E-07","1,45E-07","9,01E-03","6,38E+02","6,29E+00"
Tablette,"1,66E-07","5,54E+00","4,83E-03","6,24E+02","3,59E-10","3,20E-08","3,19E-06","2,91E-03","3,28E-03","3,64E-01","8,85E-03","3,55E-01","0,00E+00","6,66E-02","8,08E-01","3,74E-08","1,60E-08","1,15E-03","6,16E+01","6,39E-01"
Smartphone,"1,23E-07","3,42E+00","4,29E-03","3,21E+02","3,16E-10","3,08E-08","3,19E-06","2,81E-03","2,22E-03","2,46E-01","8,63E-03","2,37E-01","0,00E+00","3,96E-02","7,98E-01","2,25E-08","1,19E-08","8,11E-04","5,83E+01","5,35E-01"
Ordinateur fixe (sans écran) personnel,"1,35E-05","8,89E+01","9,66E-02","2,21E+03","9,86E-09","7,13E-07","1,32E-04","6,11E-02","6,36E-02","6,61E+00","3,30E-01","6,28E+00","0,00E+00","6,25E-01","2,41E+01","6,65E-07","3,63E-07","2,11E-02","2,07E+03","2,67E+01"
Ordinateur fixe (sans écran) professionnel,"1,35E-05","8,89E+01","9,66E-02","2,21E+03","9,86E-09","7,13E-07","1,32E-04","6,11E-02","6,36E-02","6,61E+00","3,30E-01","6,28E+00","0,00E+00","6,25E-01","2,41E+01","6,65E-07","3,63E-07","2,11E-02","2,07E+03","2,67E+01"
Ecran d'ordinateur,"1,23E-05","4,40E+01","2,26E-02","2,62E+02","2,35E-09","1,17E-07","5,31E-05","9,62E-03","3,56E-02","3,95E+00","6,89E-02","3,88E+00","0,00E+00","2,20E-01","4,16E+00","3,22E-07","1,52E-07","1,01E-02","6,77E+02","1,04E+01"
Téléviseur personnel,"4,14E-05","1,17E+02","4,79E-02","2,71E+02","3,92E-09","1,49E-07","1,03E-04","1,51E-02","1,06E-01","1,19E+01","1,10E-01","1,18E+01","0,00E+00","5,28E-01","8,19E+00","8,75E-07","4,08E-07","2,91E-02","1,29E+03","1,61E+01"
Téléviseur professionnel,"4,14E-05","1,17E+02","4,79E-02","2,71E+02","3,92E-09","1,49E-07","1,03E-04","1,51E-02","1,06E-01","1,19E+01","1,10E-01","1,18E+01","0,00E+00","5,28E-01","8,19E+00","8,75E-07","4,08E-07","2,91E-02","1,29E+03","1,61E+01"
Alimentation - Externe ordinateur portable,"1,63E-06","6,97E+00","1,15E-02","2,69E+02","7,63E-10","8,25E-08","9,80E-06","7,76E-03","5,40E-03","5,42E-01","2,25E-02","5,20E-01","0,00E+00","3,63E-02","1,69E+00","5,18E-08","3,30E-08","2,03E-03","1,68E+02","9,23E-01"
Alimentation - Externe smartphone et tablette,"1,78E-07","6,89E-01","1,07E-03","2,44E+01","7,00E-11","7,52E-09","9,41E-07","7,08E-04","5,28E-04","5,27E-02","2,07E-03","5,07E-02","0,00E+00","3,47E-03","1,58E-01","5,12E-09","3,20E-09","1,96E-04","1,58E+01","8,83E-02"
Disque dur externe,"4,82E-07","4,31E+00","3,66E-03","9,98E+01","5,60E-10","2,67E-08","6,03E-06","2,23E-03","2,60E-03","2,87E-01","1,15E-02","2,76E-01","0,00E+00","4,60E-02","1,20E+00","2,64E-08","1,49E-08","8,55E-04","8,55E+01","1,29E+00"
SSD externe,"2,81E-08","7,90E-01","1,77E-03","4,40E+01","1,46E-10","1,36E-08","1,12E-06","1,26E-03","7,67E-04","7,96E-02","4,16E-03","7,55E-02","0,00E+00","5,75E-03","2,97E-01","6,53E-09","4,29E-09","2,78E-04","2,39E+01","1,30E-01"
Clef USB,"2,07E-09","1,46E-01","3,71E-04","9,38E+00","2,84E-11","2,88E-09","2,49E-07","2,67E-04","1,43E-04","1,53E-02","7,34E-04","1,46E-02","0,00E+00","1,04E-03","5,19E-02","1,11E-09","8,03E-10","5,39E-05","4,89E+00","2,42E-02"
Box,"2,27E-06","1,80E+01","2,79E-02","6,42E+02","1,97E-09","1,99E-07","2,05E-05","1,87E-02","1,57E-02","1,63E+00","5,35E-02","1,57E+00","0,00E+00","1,07E-01","3,84E+00","1,40E-07","7,86E-08","5,35E-03","3,75E+02","2,42E+00"
IoT - Thermostat connecté,"6,22E-07","2,46E+00","3,02E-03","6,57E+01","2,39E-10","2,05E-08","2,76E-06","1,91E-03","1,94E-03","1,93E-01","7,88E-03","1,85E-01","0,00E+00","1,46E-02","6,36E-01","1,93E-08","1,10E-08","6,64E-04","4,90E+01","3,64E-01"
IoT - Capteur d'industrie,"1,90E-08","1,21E+00","1,36E-03","1,64E+02","1,01E-10","9,46E-09","7,55E-07","8,64E-04","7,48E-04","8,23E-02","2,73E-03","7,96E-02","0,00E+00","1,41E-02","1,97E-01","8,65E-09","3,77E-09","2,77E-04","1,59E+01","1,48E-01"
Casque de réalité virtuelle - Technologie de dalle LCD,"1,35E-06","1,06E+01","6,32E-03","4,52E+01","1,96E-09","2,72E-08","5,05E-06","2,12E-03","1,18E-02","1,41E+00","7,72E-03","1,40E+00","0,00E+00","3,95E-02","5,15E-01","8,11E-08","3,53E-08","3,19E-03","9,46E+01","2,65E+00"
Casque de réalité virtuelle - Technologie de dalle OLED,"9,19E-07","1,32E+01","9,47E-03","9,42E+01","3,86E-09","4,36E-08","6,78E-06","3,77E-03","1,61E-02","1,94E+00","1,27E-02","1,93E+00","0,00E+00","4,37E-02","7,72E-01","1,02E-07","4,53E-08","4,33E-03","1,52E+02","4,36E+00"
Manette pour casque de réalité virtuelle ,"3,79E-08","2,14E+00","1,19E-03","7,37E+00","1,76E-10","7,29E-09","4,72E-07","4,00E-04","2,55E-03","3,00E-01","8,80E-04","2,99E-01","0,00E+00","8,22E-03","5,58E-02","1,69E-08","5,84E-09","6,85E-04","1,03E+01","5,00E-01"
Réseaux FAI,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Accès,,,,,,,,,,,,,,,,,,,,
Antenne passive multibandes (1.4m à 2.7m),"6,64E-05","5,17E+02","2,64E-01","2,32E+03","2,42E-08","1,24E-06","7,71E-04","8,62E-02","4,78E-01","5,59E+01","8,87E-01","5,50E+01","0,00E+00","1,93E+00","4,31E+01","3,78E-06","1,69E-06","1,29E-01","0,00E+00","2,11E+02"
"BBU (2G, 3G, 4G, 5G)","3,65E-05","2,47E+02","1,21E-01","1,90E+03","1,77E-08","1,18E-06","4,02E-04","5,38E-02","1,50E-01","1,68E+01","5,16E-01","1,62E+01","0,00E+00","1,73E+00","3,60E+01","1,62E-06","6,75E-07","4,65E-02","0,00E+00","9,47E+01"
Routeur de collecte sur site radio,"1,82E-05","2,32E+02","4,90E-01","1,20E+04","3,73E-08","3,78E-06","5,03E-04","3,44E-01","1,89E-01","2,14E+01","1,12E+00","2,03E+01","0,00E+00","9,57E-01","7,44E+01","1,63E-06","1,13E-06","7,25E-02","0,00E+00","7,10E+01"
Agregation ,,,,,,,,,,,,,,,,,,,,
Routeur d'agrégation,"3,29E-04","2,10E+03","2,63E+00","5,80E+04","2,48E-07","2,03E-05","4,83E-03","1,69E+00","1,45E+00","1,69E+02","7,91E+00","1,61E+02","0,00E+00","9,24E+00","4,66E+02","1,40E-05","8,26E-06","5,03E-01","0,00E+00","9,13E+02"
Équipement WDM de boucle d'agrégation,"1,97E-04","1,78E+03","3,12E+00","7,40E+04","2,65E-07","2,40E-05","3,95E-03","2,13E+00","1,42E+00","1,64E+02","7,77E+00","1,56E+02","0,00E+00","7,58E+00","4,95E+02","1,23E-05","8,02E-06","5,14E-01","0,00E+00","6,41E+02"
Security Gateway 4G/5G,"4,37E-05","2,41E+02","2,91E-01","6,33E+03","2,71E-08","2,22E-06","5,42E-04","1,85E-01","1,66E-01","1,92E+01","8,71E-01","1,83E+01","0,00E+00","1,05E+00","5,19E+01","1,62E-06","9,51E-07","5,74E-02","0,00E+00","1,01E+02"
Backbone,,,,,,,,,,,,,,,,,,,,
Equipement WDM backbone,"1,97E-04","1,78E+03","3,12E+00","7,40E+04","2,65E-07","2,40E-05","3,95E-03","2,13E+00","1,42E+00","1,64E+02","7,77E+00","1,56E+02","0,00E+00","7,58E+00","4,95E+02","1,23E-05","8,02E-06","5,14E-01","0,00E+00","6,41E+02"
Routeur P-PE-Peering,"1,47E-03","8,57E+03","9,58E+00","2,03E+05","9,66E-07","7,38E-05","1,99E-02","5,96E+00","5,83E+00","6,82E+02","3,08E+01","6,51E+02","0,00E+00","3,83E+01","1,77E+03","5,70E-05","3,25E-05","1,97E+00","0,00E+00","3,89E+03"
MME /SGSN ,"3,28E-04","2,35E+03","2,98E+00","6,90E+04","2,62E-07","2,23E-05","4,57E-03","1,93E+00","1,71E+00","1,99E+02","8,18E+00","1,91E+02","0,00E+00","1,48E+01","6,14E+02","1,54E-05","9,34E-06","5,85E-01","0,00E+00","8,20E+02"
SP-GW /GGSN ,"4,28E-05","7,51E+02","1,80E+00","4,48E+04","1,37E-07","1,38E-05","1,53E-03","1,28E+00","7,10E-01","8,06E+01","3,78E+00","7,68E+01","0,00E+00","2,99E+00","2,62E+02","5,43E-06","3,96E-06","2,67E-01","0,00E+00","1,80E+02"
Agregation& Backbone,,,,,,,,,,,,,,,,,,,,
Fibre optique 2 brins,"2,95E-11","8,87E-03","4,69E-06","3,80E-03","4,01E-13","2,57E-12","3,98E-07","1,72E-06","1,88E-05","6,38E-04","0,00E+00","6,38E-04","0,00E+00","1,03E-05","0,00E+00","6,52E-12","3,15E-11","4,95E-06","1,69E-05","5,14E-03"
Fibre optique 12 brins,"1,91E-10","6,75E-02","1,77E-04","3,27E-03","7,96E-14","1,57E-11","1,83E-09","4,20E-05","4,61E-04","5,33E-03","0,00E+00","5,33E-03","0,00E+00","1,11E-05","0,00E+00","6,97E-12","9,35E-10","1,19E-04","1,76E-05","2,17E-03"
Fibre optique 24 brins,"1,93E-10","6,82E-02","1,78E-04","3,30E-03","8,05E-14","1,59E-11","1,85E-09","4,25E-05","4,66E-04","5,39E-03","0,00E+00","5,39E-03","0,00E+00","1,12E-05","0,00E+00","7,04E-12","9,45E-10","1,20E-04","1,78E-05","2,20E-03"
Fibre optique 48 brins,"1,97E-10","6,97E-02","1,82E-04","3,37E-03","8,22E-14","1,62E-11","1,89E-09","4,34E-05","4,75E-04","5,51E-03","0,00E+00","5,51E-03","0,00E+00","1,14E-05","0,00E+00","7,19E-12","9,65E-10","1,22E-04","1,82E-05","2,24E-03"
Fibre optique 72 brins,"2,01E-10","7,11E-02","1,86E-04","3,44E-03","8,39E-14","1,66E-11","1,93E-09","4,43E-05","4,85E-04","5,62E-03","0,00E+00","5,62E-03","0,00E+00","1,17E-05","0,00E+00","7,34E-12","9,85E-10","1,25E-04","1,85E-05","2,29E-03"
Fibre optique 96 brins,"2,05E-10","7,26E-02","1,90E-04","3,52E-03","8,56E-14","1,69E-11","1,97E-09","4,52E-05","4,95E-04","5,74E-03","0,00E+00","5,74E-03","0,00E+00","1,19E-05","0,00E+00","7,49E-12","1,01E-09","1,27E-04","1,89E-05","2,34E-03"
Fibre optique 144 brins,"2,13E-10","7,55E-02","1,97E-04","3,66E-03","8,91E-14","1,76E-11","2,05E-09","4,70E-05","5,15E-04","5,97E-03","0,00E+00","5,97E-03","0,00E+00","1,24E-05","0,00E+00","7,79E-12","1,05E-09","1,33E-04","1,97E-05","2,43E-03"
Fibre optique 288 brins,"2,37E-10","8,41E-02","2,20E-04","4,07E-03","9,92E-14","1,96E-11","2,29E-09","5,24E-05","5,74E-04","6,64E-03","0,00E+00","6,64E-03","0,00E+00","1,38E-05","0,00E+00","8,68E-12","1,16E-09","1,48E-04","2,19E-05","2,71E-03"
Fibre optique 576 brins,"2,88E-10","1,02E-01","2,66E-04","4,93E-03","1,20E-13","2,37E-11","2,77E-09","6,35E-05","6,95E-04","8,05E-03","0,00E+00","8,05E-03","0,00E+00","1,67E-05","0,00E+00","1,05E-11","1,41E-09","1,79E-04","2,66E-05","3,28E-03"
Fibre optique 720 brins,"3,13E-10","1,11E-01","2,90E-04","5,36E-03","1,31E-13","2,58E-11","3,01E-09","6,90E-05","7,56E-04","8,75E-03","0,00E+00","8,75E-03","0,00E+00","1,82E-05","0,00E+00","1,14E-11","1,53E-09","1,94E-04","2,89E-05","3,57E-03"
Serveur DC/Cloud (PAS DE REVUE CRITIQUE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serveur rack - petit,"1,73E-05","9,56E+01","7,73E-02","1,51E+03","1,68E-08","5,92E-07","1,91E-04","4,45E-02","5,99E-02","6,53E+00","2,83E-01","6,25E+00","0,00E+00","5,46E-01","1,59E+01","6,51E-07","3,38E-07","1,93E-02","0,00E+00","4,07E+01"
Serveur rack - moyen,"2,47E-05","1,30E+02","9,46E-02","1,75E+03","2,30E-08","7,23E-07","2,63E-04","5,21E-02","8,00E-02","8,74E+00","3,73E-01","8,36E+00","0,00E+00","7,32E-01","2,03E+01","8,84E-07","4,49E-07","2,53E-02","0,00E+00","5,74E+01"
Serveur rack - grand,"6,16E-05","3,60E+02","3,20E-01","6,60E+03","6,30E-08","2,45E-06","7,11E-04","1,91E-01","2,27E-01","2,48E+01","1,10E+00","2,36E+01","0,00E+00","2,14E+00","6,47E+01","2,45E-06","1,30E-06","7,45E-02","0,00E+00","1,49E+02"
Serveur blade,"9,84E-06","4,95E+01","3,23E-02","5,47E+02","8,91E-09","2,47E-07","1,02E-04","1,68E-02","3,04E-02","3,34E+00","1,38E-01","3,20E+00","0,00E+00","2,67E-01","7,09E+00","3,36E-07","1,67E-07","9,40E-03","0,00E+00","2,27E+01"
Switch,"1,79E-05","1,11E+02","1,12E-01","2,38E+03","1,97E-08","8,59E-07","2,17E-04","6,91E-02","7,37E-02","8,00E+00","3,54E-01","7,64E+00","0,00E+00","6,58E-01","2,10E+01","7,64E-07","4,17E-07","2,44E-02","0,00E+00","4,39E+01"
Salle technique de centre de données,"2,43E-06","6,92E+02","3,73E-01","4,33E+02","3,90E-08","2,85E-07","3,65E-02","1,54E-01","1,41E+00","5,04E+01","0,00E+00","5,04E+01","0,00E+00","1,03E+00","0,00E+00","6,59E-07","2,31E-06","3,89E-01","0,00E+00","4,83E+02"
Bâtiments et environnement technique de centre de données,"3,78E-05","7,23E+01","5,23E-02","5,63E+02","3,82E-08","2,15E-07","2,09E-03","2,09E-02","8,22E-02","3,73E+00","1,74E-01","3,55E+00","2,76E-03","4,58E-01","1,40E+01","2,48E-07","4,08E-07","2,41E-02","0,00E+00","2,33E+01"
Baie de stockage,"9,32E-05","4,65E+02","2,83E-01","4,72E+03","8,18E-08","2,16E-06","9,52E-04","1,43E-01","2,74E-01","3,01E+01","1,27E+00","2,88E+01","0,00E+00","2,57E+00","6,69E+01","3,12E-06","1,54E-06","8,49E-02","0,00E+00","2,14E+02"